Step,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250511_205913 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250511_180255 - best_value,BLOB_EnsembleMolecular_BLOB_Fluorescence_Oscillator_Strength_20250510_150000 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250510_144157 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250509_161822 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250510_150511 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250509_153216 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250508_191313 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250513_083430 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_164104 - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_163615 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250512_234400 - best_value
55,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
56,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
57,-3.348348233,-2.282729513,-2.753679535,-2.939969402,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.360618324,-3.067614655,-2.062798965,-2.828841562,-3.360618324,-2.062798965,-2.828841562,-3.360618324,-3.082579144,-3.756197898,-4.017986295
58,-3.519556459,-2.282729513,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
59,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
60,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
61,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.062798965,-2.828841562,-3.458286537,-3.067614655,-2.062798965,-2.828841562,-3.458286537,-2.062798965,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
62,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
63,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
64,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
65,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
66,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
67,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
68,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
69,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
70,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.067614655,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
71,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
72,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.576275157,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
73,-3.519556459,-2.425931919,-2.753679535,-3.004210927,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
74,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
75,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
76,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-2.421823596,-2.828841562,-3.458286537,-3.382800168,-2.421823596,-2.828841562,-3.458286537,-2.421823596,-2.828841562,-3.458286537,-3.082579144,-3.756197898,-4.017986295
77,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
78,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
79,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
80,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
81,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
82,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
83,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
84,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
85,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
86,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
87,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
88,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
89,-3.519556459,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
90,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-2.828841562,-3.458286537,-3.382800168,-3.004210927,-2.828841562,-3.458286537,-3.004210927,-2.828841562,-3.458286537,-3.360618324,-3.756197898,-4.017986295
91,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
92,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
93,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
94,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
95,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
96,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-3.090082915,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
97,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
98,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
99,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
100,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
101,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
102,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
103,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
104,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
105,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
106,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
107,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
108,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
109,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
110,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
111,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
112,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
113,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
114,-3.756197898,-2.425931919,-2.753679535,-4.017986295,-4.154602257,-2.698786423,-2.856248061,-3.860707275,-3.004210927,-3.136588344,-3.458286537,-3.382800168,-3.004210927,-3.136588344,-3.458286537,-3.004210927,-3.136588344,-3.458286537,-3.360618324,-3.756197898,-4.017986295
